model,setting,orientation,test_acc,train_loss
gemma3,objects,horizontal,0.9999999403953552,0.016916653141379356
gemma3,objects,vertical,0.9999999403953552,0.024111855775117874
gemma3,shapes,horizontal,0.9987654685974121,0.029711054638028145
gemma3,shapes,vertical,0.9901235103607178,0.03129420056939125
gemma3,squares,horizontal,1.0,0.016825499013066292
gemma3,squares,vertical,1.0,0.011977581307291985
gemma3,whatsup,horizontal,0.9564080238342285,0.06615658849477768
pixtral,objects,horizontal,1.0,0.020557187497615814
pixtral,objects,vertical,0.9960318207740784,0.057134419679641724
pixtral,shapes,horizontal,1.0,0.005400173366069794
pixtral,shapes,vertical,1.0,0.02003680169582367
pixtral,squares,horizontal,0.8972222208976746,0.20306676626205444
pixtral,squares,vertical,0.8972222208976746,0.20048536360263824
pixtral,whatsup,horizontal,0.8634471297264099,0.3178538978099823
qwen2vl,objects,horizontal,1.0,0.0031921344343572855
qwen2vl,objects,vertical,1.0,0.008005045354366302
qwen2vl,shapes,horizontal,1.0,0.0007230219198390841
qwen2vl,shapes,vertical,1.0,0.0037865149788558483
qwen2vl,squares,horizontal,1.0,0.0028832016978412867
qwen2vl,squares,vertical,1.0,0.00518430769443512
qwen2vl,whatsup,horizontal,0.9510204195976257,0.07000856846570969
